,GPSpoint,Plot_no,Rep,Silt_A,Silt_B,Silt_C,Silt_D,Sand_A,Sand_B,Sand_C,Sand_D,Clay_A,Clay_B,Clay_C,Clay_D,Potassium ppm K,Sulfate-S ppm S,Zinc ppm Zn,Iron ppm Fe,Manganese ppm Mn,Sodium ppm Na,NO3ppm_0_12,NO3ppm_12_24,NO3ppm_24_36,NO3ppm_36_48,NO3ppm_48_60,NO3ppm_60_72,NO3_0_24,NO3_0_36,NO3_0_48,NO3_0_60,NO3_0_72,NO3_36_48,NO3_48_60,NO3_60_72,NO3_36_72,NO3_60_72.1,NO3_36_72.1,NH4_0_24,NH4_0_36,NH4_0_48,NH4_36_48,NH4_48_60,NH4_60_72,NH4_36_72,Nov_NO3ppm_0_12,Nov_NO3ppm_12_24,Nov_NO3ppm_24_36,Nov_NO3ppm_36_48,Nov_NO3ppm_48_60,Nov_NO3ppm_60_72,Nov_NO3_0_24,Nov_NO3_0_36,Nov_NO3_0_48,Nov_NO3_0_60,Nov_NO3_0_72,Nov_NO3_36_48,Nov_NO3_48_60,Nov_NO3_60_72,Nov_NO3_36_72
42,43.0,11.0,3.0,26.719999999999985,24.0,30.0,22.0,52.56000000000001,51.279999999999994,51.279999999999994,47.279999999999994,20.720000000000006,24.720000000000006,18.720000000000006,30.72000000000001,481.0,72.0,0.7,9.3,8.6,453.0,0.24202087430040842,0.05998500374906273,0.00502260170768458,0.02009040683073832,0.2857572567303354,0.34039145016769284,1.2080235121978846,1.228113919028623,1.3084755463515763,2.451504573272918,3.813070373943689,0.08036162732295328,1.1430290269213417,1.3615658006707714,2.5849564549150665,44.961816792950216,75.72245015394776,20.622424662197858,28.487254190509233,42.6884376224619,73.44907098345945,14.201183431952662,16.93026058141286,13.830372779584689,0.925,0.095,0.0,0.805,0.5750000000000001,,4.08,4.08,7.300000000000001,9.600000000000001,-39986.4,3.22,2.3000000000000003,-39996.0,-39990.48
43,44.0,11.0,3.0,18.72,17.439999999999998,15.439999999999998,21.440000000000012,53.839999999999996,59.12,65.12,57.11999999999999,27.439999999999998,23.439999999999998,19.439999999999998,21.439999999999998,393.0,85.0,0.7,9.5,6.6,556.0,0.4297851074462769,0.0,0.0,0.0201684061917007,0.5270555165144062,1.060795596697523,1.7191404297851076,1.7191404297851076,1.7998140545519103,3.908036120609535,8.151218507399626,0.0806736247668028,2.1082220660576247,4.243182386790092,6.43207807761452,41.085260049213176,62.77377303160526,25.415128606985434,34.85735968268264,54.254106749503734,75.94261973189582,19.39674706682109,12.221057361090311,9.467455621301776,3.54,1.57,0.405,0.21999999999999997,0.885,0.75,20.44,22.060000000000002,22.94,26.48,29.48,0.8799999999999999,3.54,3.0,7.42
44,45.0,12.0,3.0,26.72,24.72,26.0,22.72,51.839999999999996,49.839999999999996,48.56,47.839999999999996,21.439999999999998,25.439999999999998,25.439999999999998,29.439999999999998,480.0,141.0,0.83,8.5,7.3,784.0,0.3415369161225515,0.1548296873439217,0.01001552406229656,0.009974564859608,0.48819769490160553,0.38379105816677467,1.9854664138658928,2.025528510115079,2.065426769553511,4.0182175491599335,5.553381781827032,0.039898259438432,1.9527907796064221,1.5351642326670987,3.527853271711953,28.807362717265427,48.81272042199952,22.844159007108708,30.91028129350584,39.71228630603717,59.71764401077127,8.802005012531328,10.288999848691178,9.716357856042917,1.87,2.2800000000000002,2.015,1.115,18.34,19.34,16.6,24.660000000000004,29.120000000000005,102.48,179.84,4.46,73.36,77.36,155.18
45,46.0,12.0,3.0,22.0,26.0,26.0,16.0,52.400000000000006,50.4,56.39999999999999,56.39999999999999,25.6,23.6,17.6,27.6,353.0,119.0,0.69,10.0,7.4,681.0,0.5231388329979879,0.18011707609946465,0.025211778943122227,0.0,0.02506265664160401,0.16944084521080433,2.8130236363898105,2.9138707521622993,2.9138707521622993,3.0141213787287153,3.6918847595719324,0.0,0.10025062656641603,0.6777633808432173,0.7780140074096333,33.512087156160234,60.67784611649091,26.949288972145474,33.43730025564336,39.783628451472914,66.9493874118036,6.346328195829555,14.218295009539109,12.94746395079157,1.355,0.6950000000000001,1.395,0.67,0.0,0.645,8.2,13.78,16.46,16.46,19.04,2.68,0.0,2.58,5.26
46,47.0,12.0,3.0,18.0,16.0,18.000000000000014,20.0,53.67999999999999,57.68,59.679999999999986,57.68,28.320000000000007,26.320000000000004,22.320000000000004,22.320000000000004,446.0,152.0,0.82,8.5,7.3,714.0,0.2762986034361499,0.1055594651653765,0.08458132245385343,0.005041593143433325,0.5372295024351056,1.103309929789368,1.5274322744061057,1.8657575642215194,1.8859239367952527,4.034841946535675,8.448081665693147,0.0201663725737333,2.1489180097404224,4.413239719157472,6.582324101471627,37.3763155633727,60.40087233277555,22.685100658395537,30.477570629123306,44.82932942309316,67.853886192496,14.35175879396985,12.55820940363527,10.466347365767582,5.460000000000001,1.065,0.785,0.5,1.025,0.5750000000000001,26.1,29.240000000000002,31.240000000000002,35.34,37.64,2.0,4.1,2.3000000000000003,8.4
47,48.0,12.0,3.0,18.72,14.719999999999999,22.72,14.720000000000013,55.67999999999999,61.67999999999999,55.67999999999999,59.679999999999986,25.6,23.6,21.6,25.6,540.0,146.0,0.7,8.9,8.3,908.0,0.15980823012385137,0.04522158577027434,0.010073536818777071,0.02010757552908058,0.4467871485943775,0.9568414161252959,0.8201192635765029,0.8604134108516112,0.9408437129679335,2.7279923073454437,6.555357971846627,0.08043030211632232,1.78714859437751,3.8273656645011838,5.694944560995016,33.01567896900356,59.14833907008259,20.097808052077024,27.353407591085894,34.236426459010424,60.36908656008946,6.8830188679245285,14.737160425381784,11.395499675697248,1.4149999999999998,0.42500000000000004,0.165,0.625,0.52,0.46499999999999997,7.359999999999999,8.02,10.52,12.6,14.459999999999999,2.5,2.08,1.8599999999999999,6.4399999999999995
48,49.0,13.0,3.0,22.72,16.72,16.72,16.72,51.67999999999999,55.67999999999999,57.68,47.67999999999999,25.6,27.6,25.6,35.6,524.0,28.0,0.56,8.9,6.4,351.0,0.23563621778802768,0.09026175910139404,0.07051120624527828,0.09936900680677696,0.3336154956928746,0.14406358668653751,1.303591907557687,1.5856367325388,1.983112759765908,3.3175747425374063,3.8938290892835563,0.39747602722710784,1.3344619827714983,0.5762543467461501,2.3081923567447564,34.354344312430484,61.64511647551687,25.03427830871194,31.530984699821712,38.59455684916581,65.8853290122522,7.063572149344097,17.911044477761124,9.379727685325264,0.9750000000000001,0.13,0.015,0.11499999999999999,0.8550000000000001,0.515,4.42,4.4799999999999995,4.9399999999999995,8.36,10.42,0.45999999999999996,3.4200000000000004,2.06,5.94
49,50.0,13.0,3.0,22.72,9.439999999999998,16.72,12.719999999999999,53.67999999999999,58.96,55.67999999999999,55.67999999999999,23.6,31.6,27.6,31.6,453.0,24.0,0.8,9.6,6.9,320.0,0.08,0.0,0.0,0.11031992779059271,0.6241506014999748,0.5519594560690452,0.32,0.32,0.7612797111623708,3.25788211716227,5.465719941438451,0.44127971116237086,2.4966024059998992,2.2078378242761807,5.1457199414384505,39.460246858741996,69.74710662070979,16.806504453928426,23.606844470929275,32.78023156770347,63.06709132967127,9.173387096774194,20.305785949835116,9.981073812132681,1.655,0.4,0.075,0.48,0.705,0.185,8.22,8.520000000000001,10.440000000000001,13.260000000000002,14.000000000000002,1.92,2.82,0.74,5.48
50,51.0,13.0,3.0,20.72,22.72,24.72,16.72,55.67999999999999,45.67999999999999,47.67999999999999,51.67999999999999,23.6,31.6,27.6,31.6,365.0,25.0,0.58,9.6,5.7,341.0,0.14541443112871685,0.0,0.0,0.0,0.04534233462642954,0.0,0.5816577245148674,0.5816577245148674,0.5816577245148674,0.7630270630205855,0.7630270630205855,0.0,0.18136933850571815,0.0,0.18136933850571815,28.449934082510843,49.052390927736106,15.641847329052524,21.45118448167326,29.298661718958837,49.9011185641841,7.8474772372855774,11.81544633901705,8.787010506208214,1.01,0.0,0.17500000000000002,0.17,0.28,0.265,4.04,4.74,5.42,6.54,7.6,0.68,1.12,1.06,2.8600000000000003
51,52.0,13.0,3.0,20.72,22.72,20.72,16.72,54.400000000000006,50.4,52.400000000000006,60.4,24.880000000000003,26.880000000000003,26.880000000000003,22.880000000000003,383.0,57.0,0.81,10.1,5.4,450.0,0.0,0.0,0.0,0.0,0.29736404415100043,0.4052785054119508,0.0,0.0,0.0,1.1894561766040017,2.810570198251805,0.0,1.1894561766040017,1.6211140216478033,2.810570198251805,30.79709128530392,56.13772926525632,20.120036979323075,26.588716789654995,32.04517009500652,57.385808074958916,5.456453305351522,12.828105395232122,12.512532584720274,4.3,1.46,0.555,0.76,1.275,0.22499999999999998,23.04,25.259999999999998,28.299999999999997,33.4,34.3,3.04,5.1,0.8999999999999999,9.040000000000001
